Here or Outside,Date,Day of week,Month,Previous Word,Time of day,Time
Outside,8/22/2020,7,August,Here,Night,9:29 PM
Outside,8/23/2020,1,August,Outside,Night,10:09 PM
Outside,8/24/2020,2,August,Outside,Afternoon,2:45 PM
Outside,8/25/2020,3,August,Outside,Night,10:59 PM
Outside,8/27/2020,5,August,Outside,Night,10:45 PM
Here,8/31/2020,2,August,Outside,Evening,5:23 PM
Outside,9/1/2020,3,September,Here,Evening,7:15 PM
Here,9/2/2020,4,September,Outside,Night,9:12 PM
Outside,9/3/2020,5,September,Here,Evening,7:10 PM
Outside,9/4/2020,6,September,Outside,Night,11:56 PM
Outside,9/5/2020,7,September,Outside,Afternoon,4:45 PM
Here,9/6/2020,1,September,Outside,Late Night,2:00 AM
Here,9/7/2020,2,September,Here,Night,8:21 PM
Here,9/8/2020,3,September,Here,Evening,7:22 PM
Here,9/9/2020,4,September,Here,Night,8:50 PM
Outside,9/10/2020,5,September,Here,Evening,7:02 PM
Outside,9/12/2020,7,September,Outside,Late Night,12:07 AM
Here,9/12/2020,7,September,Outside,Afternoon,4:03 PM
Here,9/13/2020,1,September,Here,Late Night,1:23 AM
Here,9/14/2020,2,September,Here,Evening,7:30 PM
Outside,9/15/2020,3,September,Here,Night,7:52 PM
Outside,9/16/2020,4,September,Outside,Night,9:44 PM
Here,9/17/2020,5,September,Outside,Evening,7:02 PM
Here,9/18/2020,6,September,Here,Night,11:31 PM
Here,9/19/2020,7,September,Here,Afternoon,12:26 PM
Here,9/20/2020,1,September,Here,Late Night,12:56 AM
Outside,9/21/2020,2,September,Here,Evening,7:16 PM
Outside,9/22/2020,3,September,Outside,Night,10:28 PM
Outside,9/23/2020,4,September,Outside,Night,9:26 PM
Here,9/24/2020,5,September,Outside,Evening,6:52 PM
Outside,9/25/2020,6,September,Here,Afternoon,3:24 PM
Outside,9/26/2020,7,September,Outside,Night,8:00 PM
Here,9/28/2020,2,September,Outside,Evening,7:24 PM
Outside,9/29/2020,3,September,Here,Night,9:46 PM
Here,9/30/2020,4,September,Outside,Afternoon,12:29 PM
Outside,9/30/2020,4,September,Here,Night,9:10 PM
Outside,10/1/2020,5,October,Outside,Evening,7:02 PM
Here,10/2/2020,6,October,Outside,Night,8:48 PM
Outside,10/4/2020,1,October,Here,Late Night,1:03 AM
Here,10/5/2020,2,October,Outside,Night,8:44 PM
Outside,10/6/2020,3,October,Here,Night,10:30 PM
Here,10/7/2020,4,October,Outside,Night,11:05 PM
Outside,10/8/2020,5,October,Here,Night,8:21 PM
Here,10/11/2020,1,October,Outside,Late Night,12:57 AM
Here,10/12/2020,2,October,Here,Evening,7:24 PM
Outside,10/14/2020,4,October,Here,Night,9:13 PM
Here,10/15/2020,5,October,Outside,Evening,7:10 PM
Here,10/17/2020,7,October,Here,Late Night,12:05 PM
Here,10/20/2020,3,October,Here,Night,11:00 PM
Here,10/21/2020,4,October,Here,Night,9:18 PM
Here,10/22/2020,5,October,Here,Evening,6:59 PM
Outside,10/26/2020,2,October,Here,Evening,7:26 PM
Outside,10/27/2020,3,October,Outside,Night,10:13 PM
Outside,10/30/2020,6,October,Outside,Night,8:19 PM
Outside,11/2/2020,2,November,Outside,Night,10:12 PM
Here,11/3/2020,3,November,Outside,Night,10:21 PM
Outside,11/4/2020,4,November,Here,Night,9:11 PM
Outside,11/5/2020,5,November,Outside,Evening,6:48 PM
Here,11/6/2020,6,November,Outside,Night,10:51 PM
Here,11/7/2020,7,November,Here,Afternoon,4:34 PM
Here,11/9/2020,2,November,Here,Night,8:07 PM
Here,11/10/2020,3,November,Here,Night,10:03 PM
Outside,11/11/2020,4,November,Here,Night,9:09 PM
Outside,11/13/2020,6,November,Outside,Night,11:00 PM
Here,11/15/2020,1,November,Outside,Late Night,1:28 AM
Outside,11/16/2020,2,November,Here,Evening,7:19 PM
